Consonant	Mean	Median	SD	Range	Studies	Languages	Mean	Median	SD	Range	Studies	Languages
ʁ	40	33	17.66	24–72	6	ara, dan, deu, fra, hat	37.5	34	11.73	24–55	6	ara, dan, deu, fra, heb
ħ	33	33	4.24	30–36	2	ara	53	53	9.9	46–60	2	ara
ʕ	40	40	—	—	1	ara	—	—	—	—	—	—
h	32.36	30	9.25	24–60	25	ara, dan, deu, eng, isl, kor, mlt, nld, swa, tsn, tur, xho	38.85	36.5	7.89	24–48	26	ara, dan, deu, eng, hun, isl, jpn, msa, tur, yue
ɦ	33	33	4.24	30–36	2	xho	45	45	—	—	1	afr
ʜ	—	—	—	—	—	—	—	—	—	—	—	—
ʢ	—	—	—	—	—	—	—	—	—	—	—	—
ɬ	36.5	36.5	9.19	30–43	2	xho	—	—	—	—	—	—
ɮ	36	36	—	—	1	xho	—	—	—	—	—	—
ʋ	27.5	27.5	0.71	27–28	2	isl, nld	32	32	11.31	24–40	2	isl, tur
ɹ	46.82	48	14.11	23–66	11	cmn, eng, jam, mlt	60.11	49	20.93	36–96	9	cmn, eng, msa
ɻ	—	—	—	—	—	—	—	—	—	—	—	—
j	30	30	9.27	12–48	27	ara, dan, deu, eng, fra, hat, isl, jam, mlt, nld, slv, swa, tsn, tur, xho	38.48	36	10.5	15–60	33	afr, ara, dan, deu, eng, heb, hun, isl, jpn, msa, nld, slv, spa, tur, yue
ɰ	—	—	—	—	—	—	—	—	—	—	—	—
l	37.65	36	12.95	19–72	37	ara, cmn, dan, deu, ell, eng, fra, hat, isl, jam, kor, mlt, nld, pot, slv, swa, tsn, tur, xho	43.56	44	12.99	21–78	32	afr, ara, cmn, dan, deu, ell, eng, fra, heb, hun, isl, ita, msa, pot, slv, spa, tur, yue
lʷ	36	36	—	—	1	tsn	—	—	—	—	—	—
ɫ	—	—	—	—	—	—	30	30	—	—	1	tur
ʎ	40.33	36	7.51	36–49	3	ell, pot	49	49	—	—	1	ell
ʟ	—	—	—	—	—	—	—	—	—	—	—	—
w	30.33	30	5.94	16–36	21	ara, dan, eng, fra, hat, jam, mlt, swa, tsn, xho	40.92	41	10.32	24–60	24	ara, dan, eng, fra, jpn, msa, spa, yue
ɥ	42	42	8.49	36–48	2	fra, hat	39	39	12.73	30–48	2	ara, fra
pf	30	30	—	—	1	deu	36	36	—	—	1	deu
ʦ	36.67	36	6.03	31–43	3	cmn, deu, ell	50.09	49	9.89	30–66	11	cmn, deu, ell, heb, hun, jpn, yue
tsʰ	34.33	36	3.79	30–37	3	cmn, tsn, xho	50.75	50	2.36	49–54	4	cmn, yue
tsʰʷ	36	36	—	—	1	tsn	—	—	—	—	—	—
ʣ	44.67	43	3.79	42–49	3	ell, xho	—	—	—	—	—	—
tʂ	25	25	—	—	1	cmn	25	25	—	—	1	cmn
tʂʰ	25	25	—	—	1	cmn	37	37	—	—	1	cmn
ʨ	33.6	36	9.1	18–42	5	cmn, kor	18	18	—	—	1	cmn
ʨ*	36	36	0	36	4	kor	—	—	—	—	—	—
ʨʰ	32.4	36	8.05	18–36	5	cmn, kor	18	18	—	—	1	cmn
tɬ	61	61	—	—	1	xho	—	—	—	—	—	—
tɬʰ	36	36	—	—	1	tsn	—	—	—	—	—	—
tɬʷʰ	42	42	—	—	1	tsn	—	—	—	—	—	—
ʧ	38.33	36	10.72	20–54	18	ara, eng, jam, mlt, pot, swa, tur, xho	47.38	48	10.68	24–72	16	ara, eng, heb, hun, msa, pot, spa, tur
ʧʰ	39.5	39.5	4.95	36–43	2	tsn, xho	—	—	—	—	—	—
ʤ	42.42	42	14.25	20–84	19	ara, eng, hat, jam, mlt, pot, tsn, tur, xho	48.5	48	12.12	24–72	12	eng, msa, pot, spa, tur
ʤʷ	42	42	—	—	1	tsn	—	—	—	—	—	—
cç	—	—	—	—	—	—	60	60	—	—	1	hun
cɕ	—	—	—	—	—	—	36.6	36	6.99	29–48	5	jpn
ɟʝ	—	—	—	—	—	—	48	48	—	—	1	hun
ɟʑ	—	—	—	—	—	—	39.6	40	6.07	32–48	5	jpn
kxʰʷ	36	36	—		—	1		tsn	—	—	—	
ʘ	—	—	—		—	—		—	—	—	—	
|	33	33	4.24		30–36	2		xho	—	—	—	
|ʰ	36	36	—		—	1		xho	—	—	—	
!	33	33	4.24		30–36	2		xho	—	—	—	
!ʰ	49	49	—		—	1		xho	—	—	—	
ǂ	—	—	—		—	—		—	—	—	—	
||	42.5	42.5	0.71		42–43	2		xho	—	—	—	
||ʰ	36	36	—		—	1		xho	—	—	—	
ɓ	33	33	4.24		30–36	2		xho	—	—	—	
p’	33	33	4.24		30–36	2		tsn, xho	—	—	—	
t’	33	33	4.24		30–36	2		tsn, xho	—	—	—	
tʷ’	36	36	—		—	1		tsn	—	—	—	
c’	33	33	4.24		30–36	2		xho	—	—	—	
k’	33	33	4.24		30–36	2		tsn, xho	—	—	—	
kʷ’	36	36	—		—	1		tsn	—	—	—	
ts’	36.33	36	6.51		30–43	3		tsn, xho	—	—	—	
tsʷ’	36	36	—		—	1		tsn	—	—	—	
ʧ’	54.5	54.5	7.78		49–60	2		xho	—	—	—	
kx’	39.5	39.5	13.44	30–49	2	xho	—	—	—	—	—	—
